BLD_YRS_FOR_GAS_WELL_1,BLD_YRS_FOR_GAS_WELL_2,BLD_YRS_FOR_GAS_WELL_3,BuildWellNum
MS,V,2014,0.0
MS,H,2014,0.0
MS,D,2014,0.0
MS,V,2015,0.0
MS,H,2015,0.0
MS,D,2015,0.0
MS,V,2011,0.0
MS,H,2011,0.0
MS,D,2011,0.0
MS,V,2020,0.0
MS,H,2020,0.0
MS,D,2020,0.0
MS,V,2018,0.0
MS,H,2018,0.0
MS,D,2018,0.0
MS,V,2019,0.0
MS,H,2019,0.0
MS,D,2019,0.0
MS,V,2016,0.0
MS,H,2016,0.0
MS,D,2016,0.0
MS,V,2017,0.0
MS,H,2017,0.0
MS,D,2017,0.0
MS,V,2008,11.0
MS,H,2008,16.0
MS,D,2008,1.0
MS,V,2007,187.0
MS,H,2007,270.0
MS,D,2007,22.0
MT,H,1998,20.0
MT,D,1998,3.0
MT,V,1998,329.0
MT,H,1999,12.0
MT,D,1999,2.0
MT,V,1999,197.0
MT,H,1997,5.0
MT,D,1997,1.0
MT,V,1997,73.0
MT,H,2006,48.0
MT,D,2006,6.0
MT,V,2006,773.0
MT,H,2007,20.0
MT,D,2007,3.0
MT,V,2007,324.0
MT,H,2008,10.0
MT,D,2008,1.0
MT,V,2008,159.0
MT,H,2005,45.0
MT,D,2005,6.0
MT,V,2005,729.0
MT,H,2010,0.0
MT,D,2010,0.0
MT,V,2010,0.0
MT,H,2011,32.0
MT,D,2011,4.0
MT,V,2011,519.0
MT,H,2012,0.0
MT,D,2012,0.0
MT,V,2012,0.0
MT,H,2009,0.0
MT,D,2009,0.0
MT,V,2009,0.0
MT,H,2001,59.0
MT,D,2001,8.0
MT,V,2001,944.0
MT,H,2002,12.0
MT,D,2002,2.0
MT,V,2002,199.0
MT,H,2003,0.0
MT,D,2003,0.0
MT,V,2003,0.0
MT,H,2004,25.0
MT,D,2004,3.0
MT,V,2004,404.0
MT,H,2018,0.0
MT,D,2018,0.0
MT,V,2018,0.0
MT,H,2019,0.0
MT,D,2019,0.0
MT,V,2019,0.0
MT,H,2020,4.0
MT,D,2020,1.0
MT,V,2020,63.0
MT,H,2016,0.0
MT,D,2016,0.0
MT,V,2016,0.0
MT,H,2013,0.0
MT,D,2013,0.0
MT,V,2013,0.0
MT,H,2014,0.0
MT,D,2014,0.0
MT,V,2014,0.0
MT,H,2015,0.0
MT,D,2015,0.0
MT,V,2015,0.0
MT,H,2017,0.0
MT,D,2017,0.0
MT,V,2017,0.0
MT,H,2000,0.0
MT,D,2000,0.0
MT,V,2000,0.0
ND,V,2020,287.0
ND,V,2007,0.0
ND,V,2008,0.0
ND,V,2009,2.0
ND,V,2010,0.0
ND,V,2011,338.0
ND,V,2012,0.0
ND,V,2013,0.0
ND,V,2005,5.0
ND,V,2006,52.0
ND,V,2015,57.0
ND,V,2016,0.0
ND,V,2017,52.0
ND,V,2014,0.0
ND,V,2019,338.0
ND,V,2018,417.0
NE,H,2011,31.0
NE,H,2012,0.0
NE,H,2009,0.0
NE,H,2019,0.0
NE,H,2018,3.0
NE,H,2008,56.0
NE,H,2010,0.0
NE,H,2013,0.0
NE,H,2020,0.0
NE,H,2015,31.0
NE,H,2016,9.0
NE,H,2014,0.0
NE,H,2017,1.0
NM,D,1990,1.0
NM,H,1990,21.0
NM,V,1990,4.0
NM,D,1993,116.0
NM,H,1993,2258.0
NM,V,1993,431.0
NM,D,1994,101.0
NM,H,1994,1969.0
NM,V,1994,376.0
NM,D,1991,120.0
NM,H,1991,2332.0
NM,V,1991,445.0
NM,D,1992,0.0
NM,H,1992,0.0
NM,V,1992,0.0
NM,D,1999,0.0
NM,H,1999,0.0
NM,V,1999,0.0
NM,D,2000,329.0
NM,H,2000,6391.0
NM,V,2000,1221.0
NM,D,2001,53.0
NM,H,2001,1021.0
NM,V,2001,195.0
NM,D,2002,27.0
NM,H,2002,528.0
NM,V,2002,101.0
NM,D,2003,51.0
NM,H,2003,988.0
NM,V,2003,189.0
NM,D,2004,61.0
NM,H,2004,1186.0
NM,V,2004,227.0
NM,D,2005,66.0
NM,H,2005,1274.0
NM,V,2005,243.0
NM,D,2006,61.0
NM,H,2006,1189.0
NM,V,2006,227.0
NM,D,2007,42.0
NM,H,2007,813.0
NM,V,2007,155.0
NM,D,1995,9.0
NM,H,1995,175.0
NM,V,1995,34.0
NM,D,1996,26.0
NM,H,1996,502.0
NM,V,1996,96.0
NM,D,1997,136.0
NM,H,1997,2645.0
NM,V,1997,505.0
NM,D,1998,32.0
NM,H,1998,627.0
NM,V,1998,120.0
NM,D,2012,9.0
NM,H,2012,169.0
NM,V,2012,32.0
NM,D,2013,0.0
NM,H,2013,0.0
NM,V,2013,0.0
NM,D,2014,5.0
NM,H,2014,101.0
NM,V,2014,19.0
NM,D,2015,14.0
NM,H,2015,269.0
NM,V,2015,51.0
NM,D,2016,0.0
NM,H,2016,0.0
NM,V,2016,0.0
NM,D,2017,0.0
NM,H,2017,0.0
NM,V,2017,0.0
NM,D,2018,0.0
NM,H,2018,0.0
NM,V,2018,0.0
NM,D,2019,0.0
NM,H,2019,0.0
NM,V,2019,0.0
NM,D,2020,0.0
NM,H,2020,0.0
NM,V,2020,0.0
NM,D,2008,66.0
NM,H,2008,1285.0
NM,V,2008,246.0
NM,D,2009,22.0
NM,H,2009,437.0
NM,V,2009,83.0
NM,D,2010,0.0
NM,H,2010,0.0
NM,V,2010,0.0
NM,D,2011,0.0
NM,H,2011,0.0
NM,V,2011,0.0
NV,H,2020,0.0
NY,V,1995,127.0
NY,H,1995,123.0
NY,V,1996,37.0
NY,H,1996,37.0
NY,V,1997,0.0
NY,H,1997,0.0
NY,V,1998,87.0
NY,H,1998,85.0
NY,V,1999,263.0
NY,H,1999,256.0
NY,V,2000,0.0
NY,H,2000,0.0
NY,V,2001,70.0
NY,H,2001,68.0
NY,V,2002,295.0
NY,H,2002,288.0
NY,V,2003,0.0
NY,H,2003,0.0
NY,V,1989,754.0
NY,H,1989,734.0
NY,V,1990,112.0
NY,H,1990,109.0
NY,V,1991,107.0
NY,H,1991,105.0
NY,V,1992,86.0
NY,H,1992,83.0
NY,V,1993,0.0
NY,H,1993,0.0
NY,V,1994,64.0
NY,H,1994,63.0
NY,V,2009,0.0
NY,H,2009,0.0
NY,V,2010,55.0
NY,H,2010,53.0
NY,V,2011,322.0
NY,H,2011,314.0
NY,V,2012,182.0
NY,H,2012,177.0
NY,V,2013,0.0
NY,H,2013,0.0
NY,V,2014,33.0
NY,H,2014,33.0
NY,V,2015,0.0
NY,H,2015,0.0
NY,V,2016,10.0
NY,H,2016,9.0
NY,V,2004,0.0
NY,H,2004,0.0
NY,V,2005,0.0
NY,H,2005,0.0
NY,V,2006,272.0
NY,H,2006,264.0
NY,V,2007,352.0
NY,H,2007,343.0
NY,V,2008,0.0
NY,H,2008,0.0
NY,V,2017,0.0
NY,H,2017,0.0
NY,V,2018,0.0
NY,H,2018,0.0
NY,V,2019,0.0
NY,H,2019,0.0
NY,V,2020,0.0
NY,H,2020,0.0
OH,V,1990,136.0
OH,V,1991,174.0
OH,V,1989,23389.0
OH,V,1994,0.0
OH,V,1995,0.0
OH,V,1992,24.0
OH,V,1993,0.0
OH,V,2001,20.0
OH,V,2002,676.0
OH,V,2003,0.0
OH,V,2004,0.0
OH,V,2005,0.0
OH,V,2006,210.0
OH,V,2007,471.0
OH,V,2008,0.0
OH,V,1996,0.0
OH,V,1997,0.0
OH,V,1998,0.0
OH,V,1999,0.0
OH,V,2000,0.0
OH,V,2014,256.0
OH,V,2015,0.0
OH,V,2016,1219.0
OH,V,2017,0.0
OH,V,2018,0.0
OH,V,2019,103.0
OH,V,2020,0.0
OH,V,2012,0.0
OH,V,2009,547.0
OH,V,2010,0.0
OH,V,2011,0.0
OH,V,2013,0.0
OK,V,2003,45.0
OK,H,2003,998.0
OK,D,2003,12.0
OK,V,1996,0.0
OK,H,1996,0.0
OK,D,1996,0.0
OK,V,1997,0.0
OK,H,1997,1.0
OK,D,1997,0.0
OK,V,1998,16.0
OK,H,1998,347.0
OK,D,1998,4.0
OK,V,1999,0.0
OK,H,1999,0.0
OK,D,1999,0.0
OK,V,2000,0.0
OK,H,2000,0.0
OK,D,2000,0.0
OK,V,2001,472.0
OK,H,2001,10565.0
OK,D,2001,128.0
OK,V,2002,26.0
OK,H,2002,574.0
OK,D,2002,7.0
OK,V,1989,194.0
OK,H,1989,4354.0
OK,D,1989,53.0
OK,V,1990,0.0
OK,H,1990,0.0
OK,D,1990,0.0
OK,V,1991,155.0
OK,H,1991,3472.0
OK,D,1991,42.0
OK,V,1992,29.0
OK,H,1992,649.0
OK,D,1992,8.0
OK,V,1993,9.0
OK,H,1993,204.0
OK,D,1993,2.0
OK,V,1994,0.0
OK,H,1994,3.0
OK,D,1994,0.0
OK,V,1995,26.0
OK,H,1995,579.0
OK,D,1995,7.0
