BLD_YRS_FOR_GAS_D_LINE_1,BLD_YRS_FOR_GAS_D_LINE_2,BLD_YRS_FOR_GAS_D_LINE_3,BuildDirectionalGl
GA,SC,2012,98515.0
GA,SC,2013,0.0
GA,SC,2014,0.0
GA,SC,2015,0.0
GA,SC,2016,0.0
GA,SC,2017,0.0
GA,SC,2018,0.0
GA,SC,2019,0.0
GA,SC,2020,0.0
GA,SC,2021,306952.0
GA,SC,2022,0.0
GA,TN,1990,46665.0
GA,TN,1994,0.0
GA,TN,1995,11407.0
GA,TN,1996,0.0
GA,TN,1997,0.0
GA,TN,1998,98515.0
GA,TN,1999,0.0
GA,TN,2000,0.0
GA,TN,2001,0.0
GA,TN,2002,0.0
GA,TN,2003,0.0
GA,TN,2004,0.0
GA,TN,2005,0.0
GA,TN,2006,0.0
GA,TN,2007,0.0
GA,TN,2008,0.0
GA,TN,2009,0.0
GA,TN,2010,0.0
GA,TN,2011,0.0
GA,TN,2012,0.0
GA,TN,2013,0.0
GA,TN,2014,0.0
GA,TN,2015,0.0
GA,TN,2016,0.0
GA,TN,2017,0.0
GA,TN,2018,0.0
GA,TN,2019,0.0
GA,TN,2020,0.0
GA,TN,2021,0.0
GA,TN,2022,0.0
IA,IL,1990,2878712.0
IA,IL,1994,119255.0
IA,IL,1995,51850.0
IA,IL,1996,22814.0
IA,IL,1997,0.0
IA,IL,1998,808860.0
IA,IL,1999,0.0
IA,IL,2000,1692384.0
IA,IL,2001,202215.0
IA,IL,2002,174216.0
IA,IL,2003,0.0
IA,IL,2004,0.0
IA,IL,2005,77775.0
IA,IL,2006,134810.0
IA,IL,2007,0.0
IA,IL,2008,0.0
IA,IL,2009,0.0
IA,IL,2010,0.0
IA,IL,2011,0.0
IA,IL,2012,0.0
IA,IL,2013,0.0
IA,IL,2014,0.0
IA,IL,2015,0.0
IA,IL,2016,0.0
IA,IL,2017,0.0
IA,IL,2018,0.0
IA,IL,2019,0.0
IA,IL,2020,0.0
IA,IL,2021,0.0
IA,IL,2022,0.0
IA,MN,1990,1265140.0
IA,MN,1994,51850.0
IA,MN,1995,0.0
IA,MN,1996,111996.0
IA,MN,1997,250954.0
IA,MN,1998,0.0
IA,MN,1999,0.0
IA,MN,2000,0.0
IA,MN,2001,0.0
IA,MN,2002,93330.0
IA,MN,2003,0.0
IA,MN,2004,0.0
IA,MN,2005,0.0
IA,MN,2006,0.0
IA,MN,2007,228140.0
IA,MN,2008,0.0
IA,MN,2009,0.0
IA,MN,2010,0.0
IA,MN,2011,0.0
IA,MN,2012,0.0
IA,MN,2013,0.0
IA,MN,2014,0.0
IA,MN,2015,0.0
IA,MN,2016,0.0
IA,MN,2017,0.0
IA,MN,2018,0.0
IA,MN,2019,0.0
IA,MN,2020,0.0
IA,MN,2021,0.0
IA,MN,2022,0.0
IA,SD,1990,80886.0
IA,SD,1994,0.0
IA,SD,1995,0.0
IA,SD,1996,0.0
IA,SD,1997,0.0
IA,SD,1998,0.0
IA,SD,1999,0.0
IA,SD,2000,0.0
IA,SD,2001,0.0
IA,SD,2002,0.0
IA,SD,2003,0.0
IA,SD,2004,0.0
IA,SD,2005,0.0
IA,SD,2006,0.0
IA,SD,2007,16592.0
IA,SD,2008,0.0
IA,SD,2009,0.0
IA,SD,2010,0.0
IA,SD,2011,0.0
IA,SD,2012,0.0
IA,SD,2013,0.0
IA,SD,2014,0.0
IA,SD,2015,0.0
IA,SD,2016,0.0
IA,SD,2017,0.0
IA,SD,2018,0.0
IA,SD,2019,0.0
IA,SD,2020,0.0
IA,SD,2021,0.0
IA,SD,2022,0.0
ID,NV,1990,124440.0
ID,NV,1994,39406.0
ID,NV,1995,0.0
ID,NV,1996,0.0
ID,NV,1997,0.0
ID,NV,1998,0.0
ID,NV,1999,0.0
ID,NV,2000,0.0
ID,NV,2001,0.0
ID,NV,2002,0.0
ID,NV,2003,0.0
ID,NV,2004,0.0
ID,NV,2005,0.0
ID,NV,2006,0.0
ID,NV,2007,0.0
ID,NV,2008,0.0
ID,NV,2009,0.0
ID,NV,2010,0.0
ID,NV,2011,0.0
ID,NV,2012,0.0
ID,NV,2013,0.0
ID,NV,2014,0.0
ID,NV,2015,0.0
ID,NV,2016,0.0
ID,NV,2017,0.0
ID,NV,2018,0.0
ID,NV,2019,0.0
ID,NV,2020,0.0
ID,NV,2021,0.0
ID,NV,2022,0.0
ID,OR,1990,248880.0
ID,OR,1994,14518.0
ID,OR,1995,0.0
ID,OR,1996,0.0
ID,OR,1997,0.0
ID,OR,1998,0.0
ID,OR,1999,0.0
ID,OR,2000,0.0
ID,OR,2001,0.0
ID,OR,2002,0.0
ID,OR,2003,181475.0
ID,OR,2004,0.0
ID,OR,2005,0.0
ID,OR,2006,0.0
ID,OR,2007,0.0
ID,OR,2008,0.0
ID,OR,2009,0.0
ID,OR,2010,0.0
ID,OR,2011,0.0
ID,OR,2012,0.0
ID,OR,2013,0.0
ID,OR,2014,0.0
ID,OR,2015,0.0
ID,OR,2016,0.0
ID,OR,2017,0.0
ID,OR,2018,0.0
ID,OR,2019,0.0
ID,OR,2020,0.0
ID,OR,2021,0.0
ID,OR,2022,0.0
ID,UT,1990,259250.0
ID,UT,1994,49776.0
ID,UT,1995,0.0
ID,UT,1996,0.0
ID,UT,1997,0.0
ID,UT,1998,0.0
ID,UT,1999,0.0
ID,UT,2000,0.0
