BLD_YRS_FOR_GAS_LINE_1,BLD_YRS_FOR_GAS_LINE_2,BuildGl
CO_NM,2012,0.0
CO_NM,2013,0.0
CO_NM,2014,0.0
CO_NM,2015,0.0
CO_NM,2016,0.0
CO_NM,2017,0.0
CO_NM,2018,0.0
CO_NM,2019,0.0
CO_NM,2020,0.0
CO_NM,2021,0.0
CO_NM,2022,0.0
CO_OK,1990,207400.0
CO_OK,1991,0.0
CO_OK,1992,0.0
CO_OK,1993,0.0
CO_OK,1994,51850.0
CO_OK,1995,0.0
CO_OK,1996,0.0
CO_OK,1997,0.0
CO_OK,1998,0.0
CO_OK,1999,0.0
CO_OK,2000,0.0
CO_OK,2001,86071.0
CO_OK,2002,49776.0
CO_OK,2003,0.0
CO_OK,2004,0.0
CO_OK,2005,107848.0
CO_OK,2006,0.0
CO_OK,2007,30073.0
CO_OK,2008,0.0
CO_OK,2009,0.0
CO_OK,2010,0.0
CO_OK,2011,0.0
CO_OK,2012,0.0
CO_OK,2013,0.0
CO_OK,2014,0.0
CO_OK,2015,0.0
CO_OK,2016,0.0
CO_OK,2017,0.0
CO_OK,2018,0.0
CO_OK,2019,0.0
CO_OK,2020,0.0
CO_OK,2021,0.0
CO_OK,2022,0.0
CO_UT,1990,428281.0
CO_UT,1991,0.0
CO_UT,1992,0.0
CO_UT,1993,0.0
CO_UT,1994,302804.0
CO_UT,1995,0.0
CO_UT,1996,0.0
CO_UT,1997,0.0
CO_UT,1998,0.0
CO_UT,1999,0.0
CO_UT,2000,0.0
CO_UT,2001,0.0
CO_UT,2002,0.0
CO_UT,2003,0.0
CO_UT,2004,0.0
CO_UT,2005,0.0
CO_UT,2006,0.0
CO_UT,2007,0.0
CO_UT,2008,77775.0
CO_UT,2009,127551.0
CO_UT,2010,155550.0
CO_UT,2011,0.0
CO_UT,2012,0.0
CO_UT,2013,0.0
CO_UT,2014,0.0
CO_UT,2015,0.0
CO_UT,2016,0.0
CO_UT,2017,0.0
CO_UT,2018,0.0
CO_UT,2019,0.0
CO_UT,2020,0.0
CO_UT,2021,0.0
CO_UT,2022,0.0
CO_WY,1990,1447444.6
CO_WY,1991,0.0
CO_WY,1992,0.0
CO_WY,1993,0.0
CO_WY,1994,309026.0
CO_WY,1995,0.0
CO_WY,1996,19703.0
CO_WY,1997,230214.0
CO_WY,1998,72590.0
CO_WY,1999,277916.0
CO_WY,2000,138128.4
CO_WY,2001,714285.6
CO_WY,2002,335988.0
CO_WY,2003,0.0
CO_WY,2004,0.0
CO_WY,2005,0.0
CO_WY,2006,1131367.0
CO_WY,2007,674050.0
CO_WY,2008,1555500.0
CO_WY,2009,368342.4
CO_WY,2010,0.0
CO_WY,2011,0.0
CO_WY,2012,0.0
CO_WY,2013,0.0
CO_WY,2014,0.0
CO_WY,2015,0.0
CO_WY,2016,0.0
CO_WY,2017,0.0
CO_WY,2018,230214.0
CO_WY,2019,0.0
CO_WY,2020,0.0
CO_WY,2021,0.0
CO_WY,2022,0.0
CT_MA,1990,83997.0
CT_MA,1991,0.0
CT_MA,1992,0.0
CT_MA,1993,0.0
CT_MA,1994,0.0
CT_MA,1995,0.0
CT_MA,1996,0.0
CT_MA,1997,0.0
CT_MA,1998,0.0
CT_MA,1999,0.0
CT_MA,2000,0.0
CT_MA,2001,86071.0
CT_MA,2002,0.0
CT_MA,2003,0.0
CT_MA,2004,0.0
CT_MA,2005,0.0
CT_MA,2006,0.0
CT_MA,2007,0.0
CT_MA,2008,0.0
CT_MA,2009,0.0
CT_MA,2010,0.0
CT_MA,2011,0.0
CT_MA,2012,0.0
CT_MA,2013,0.0
CT_MA,2014,0.0
CT_MA,2015,0.0
CT_MA,2016,0.0
CT_MA,2017,0.0
CT_MA,2018,0.0
CT_MA,2019,0.0
CT_MA,2020,0.0
CT_MA,2021,46665.0
CT_MA,2022,0.0
CT_NY,1990,1088850.0
CT_NY,1991,0.0
CT_NY,1992,0.0
CT_NY,1993,0.0
CT_NY,1994,469761.0
CT_NY,1995,70516.0
CT_NY,1996,0.0
CT_NY,1997,0.0
CT_NY,1998,36295.0
CT_NY,1999,30073.0
CT_NY,2000,15555.0
CT_NY,2001,13481.0
CT_NY,2002,81923.0
CT_NY,2003,0.0
CT_NY,2004,238510.0
CT_NY,2005,0.0
CT_NY,2006,0.0
CT_NY,2007,0.0
CT_NY,2008,433466.0
CT_NY,2009,103700.0
CT_NY,2010,285175.0
CT_NY,2011,0.0
CT_NY,2012,0.0
CT_NY,2013,0.0
CT_NY,2014,0.0
CT_NY,2015,0.0
CT_NY,2016,354654.0
CT_NY,2017,116144.0
CT_NY,2018,0.0
CT_NY,2019,0.0
CT_NY,2020,0.0
CT_NY,2021,96441.0
CT_NY,2022,0.0
CT_RI,1990,689605.0
CT_RI,1991,0.0
CT_RI,1992,0.0
CT_RI,1993,0.0
CT_RI,1994,98515.0
CT_RI,1995,0.0
CT_RI,1996,0.0
CT_RI,1997,0.0
CT_RI,1998,0.0
CT_RI,1999,0.0
CT_RI,2000,0.0
CT_RI,2001,0.0
CT_RI,2002,0.0
CT_RI,2003,0.0
CT_RI,2004,0.0
CT_RI,2005,0.0
CT_RI,2006,0.0
CT_RI,2007,0.0
CT_RI,2008,0.0
CT_RI,2009,0.0
CT_RI,2010,285175.0
CT_RI,2011,0.0
CT_RI,2012,0.0
CT_RI,2013,0.0
CT_RI,2014,0.0
CT_RI,2015,0.0
CT_RI,2016,354654.0
CT_RI,2017,41480.0
CT_RI,2018,0.0
CT_RI,2019,0.0
CT_RI,2020,0.0
CT_RI,2021,96441.0
CT_RI,2022,0.0
DC_MD,1990,41480.0
DC_MD,1991,0.0
DC_MD,1992,0.0
DC_MD,1993,0.0
DC_MD,1994,41480.0
DC_MD,1995,0.0
DC_MD,1996,0.0
DC_MD,1997,0.0
DC_MD,1998,0.0
DC_MD,1999,0.0
DC_MD,2000,0.0
DC_MD,2001,0.0
DC_MD,2002,0.0
DC_MD,2003,0.0
DC_MD,2004,0.0
DC_MD,2005,0.0
DC_MD,2006,0.0
DC_MD,2007,0.0
DC_MD,2008,0.0
DC_MD,2009,0.0
DC_MD,2010,0.0
DC_MD,2011,0.0
DC_MD,2012,0.0
DC_MD,2013,0.0
DC_MD,2014,0.0
DC_MD,2015,0.0
DC_MD,2016,0.0
DC_MD,2017,0.0
DC_MD,2018,0.0
DC_MD,2019,0.0
DC_MD,2020,0.0
DC_MD,2021,0.0
DC_MD,2022,0.0
DC_VA,1990,103700.0
DC_VA,1991,0.0
DC_VA,1992,0.0
DC_VA,1993,0.0
DC_VA,1994,20740.0
DC_VA,1995,0.0
DC_VA,1996,0.0
DC_VA,1997,0.0
DC_VA,1998,0.0
DC_VA,1999,0.0
DC_VA,2000,0.0
DC_VA,2001,0.0
DC_VA,2002,0.0
DC_VA,2003,62220.0
DC_VA,2004,0.0
DC_VA,2005,0.0
DC_VA,2006,0.0
DC_VA,2007,0.0
DC_VA,2008,0.0
DC_VA,2009,0.0
DC_VA,2010,0.0
DC_VA,2011,0.0
DC_VA,2012,0.0
DC_VA,2013,0.0
DC_VA,2014,0.0
DC_VA,2015,0.0
DC_VA,2016,0.0
DC_VA,2017,0.0
DC_VA,2018,0.0
DC_VA,2019,0.0
DC_VA,2020,0.0
DC_VA,2021,0.0
DC_VA,2022,0.0
DE_MD,1990,49776.0
DE_MD,1991,0.0
DE_MD,1992,0.0
DE_MD,1993,0.0
DE_MD,1994,6947.9
DE_MD,1995,0.0
DE_MD,1996,0.0
DE_MD,1997,5185.0
DE_MD,1998,2592.5
DE_MD,1999,0.0
DE_MD,2000,0.0
DE_MD,2001,12236.6
DE_MD,2002,5185.0
DE_MD,2003,0.0
DE_MD,2004,4873.9
DE_MD,2005,19599.3
DE_MD,2006,27169.4
DE_MD,2007,10577.4
DE_MD,2008,11407.0
DE_MD,2009,0.0
DE_MD,2010,0.0
DE_MD,2011,0.0
DE_MD,2012,0.0
DE_MD,2013,0.0
DE_MD,2014,0.0
DE_MD,2015,0.0
DE_MD,2016,0.0
DE_MD,2017,0.0
DE_MD,2018,0.0
DE_MD,2019,63257.0
DE_MD,2020,0.0
DE_MD,2021,14518.0
DE_MD,2022,0.0
DE_NJ,1990,0.0
DE_NJ,1991,0.0
DE_NJ,1992,0.0
DE_NJ,1993,0.0
DE_NJ,1994,146217.0
DE_NJ,1995,0.0
DE_NJ,1996,0.0
DE_NJ,1997,0.0
DE_NJ,1998,0.0
DE_NJ,1999,0.0
DE_NJ,2000,0.0
DE_NJ,2001,0.0
DE_NJ,2002,0.0
DE_NJ,2003,0.0
DE_NJ,2004,0.0
DE_NJ,2005,0.0
DE_NJ,2006,0.0
DE_NJ,2007,0.0
DE_NJ,2008,0.0
DE_NJ,2009,0.0
DE_NJ,2010,0.0
DE_NJ,2011,0.0
DE_NJ,2012,0.0
DE_NJ,2013,0.0
DE_NJ,2014,0.0
DE_NJ,2015,0.0
DE_NJ,2016,0.0
DE_NJ,2017,0.0
DE_NJ,2018,0.0
DE_NJ,2019,0.0
DE_NJ,2020,0.0
DE_NJ,2021,0.0
DE_NJ,2022,0.0
DE_PA,1990,257176.0
DE_PA,1991,0.0
DE_PA,1992,0.0
DE_PA,1993,0.0
DE_PA,1994,98515.0
DE_PA,1995,15555.0
DE_PA,1996,0.0
DE_PA,1997,0.0
DE_PA,1998,5185.0
DE_PA,1999,9333.0
DE_PA,2000,8296.0
DE_PA,2001,0.0
DE_PA,2002,0.0
DE_PA,2003,0.0
DE_PA,2004,0.0
DE_PA,2005,0.0
DE_PA,2006,0.0
DE_PA,2007,0.0
DE_PA,2008,0.0
DE_PA,2009,0.0
DE_PA,2010,0.0
DE_PA,2011,0.0
DE_PA,2012,0.0
DE_PA,2013,0.0
DE_PA,2014,254065.0
DE_PA,2015,107848.0
DE_PA,2016,0.0
DE_PA,2017,0.0
DE_PA,2018,0.0
DE_PA,2019,0.0
DE_PA,2020,0.0
DE_PA,2021,0.0
