gas_zone,timeseries,ShadowPrice
AZ,20231127,1.55842
AZ,20231128,1.54212
AZ,20231129,1.57471
AZ,20231130,1.44736
AZ,20231201,0.544808
AZ,20231202,0.52944
AZ,20231203,0.514072
AZ,20231204,0.498704
AZ,20231205,0.596676
AZ,20231206,0.216871
AZ,20231207,0.481415
AZ,20231208,0.51023
AZ,20231209,0.475652
AZ,20231210,0.441074
AZ,20231211,1.67882
AZ,20231212,1.24581
AZ,20231213,0.593808
AZ,20231214,0.406495
AZ,20231215,0.435311
AZ,20231216,0.464126
AZ,20231217,0.492941
AZ,20231218,0.521756
AZ,20231219,1.22736
AZ,20231220,1.10148
AZ,20231221,0.458363
AZ,20231222,0.492941
AZ,20231223,0.487178
AZ,20231224,0.481415
AZ,20231225,0.475652
AZ,20231226,0.469889
AZ,20231227,0.544808
AZ,20231228,0.52044
AZ,20231229,1.13931
AZ,20231230,1.62359
AZ,20231231,1.48867
CA,20230101,4.25353
CA,20230102,4.27723
CA,20230103,4.29024
CA,20230104,4.33874
CA,20230105,4.35172
CA,20230106,4.19611
CA,20230107,4.22833
CA,20230108,4.26054
CA,20230109,4.29275
CA,20230110,4.14615
