GAS_LINES_TIMESERIES_1,GAS_LINES_TIMESERIES_2,GAS_LINES_TIMESERIES_3,DispatchGl
CO,OK,20231105,0.0
CO,OK,20231106,0.0
CO,OK,20231107,0.0
CO,OK,20231108,0.0
CO,OK,20231109,0.0
CO,OK,20231110,0.0
CO,OK,20231111,0.0
CO,OK,20231112,0.0
CO,OK,20231113,0.0
CO,OK,20231114,0.0
CO,OK,20231115,0.0
CO,OK,20231116,0.0
CO,OK,20231117,0.0
CO,OK,20231118,0.0
CO,OK,20231119,0.0
CO,OK,20231120,0.0
CO,OK,20231121,0.0
CO,OK,20231122,0.0
CO,OK,20231123,0.0
CO,OK,20231124,0.0
CO,OK,20231125,0.0
CO,OK,20231126,0.0
CO,OK,20231127,0.0
CO,OK,20231128,0.0
CO,OK,20231129,0.0
CO,OK,20231130,0.0
CO,OK,20231201,0.0
CO,OK,20231202,0.0
CO,OK,20231203,0.0
CO,OK,20231204,0.0
CO,OK,20231205,0.0
CO,OK,20231206,0.0
CO,OK,20231207,0.0
CO,OK,20231208,0.0
CO,OK,20231209,0.0
CO,OK,20231210,0.0
CO,OK,20231211,0.0
CO,OK,20231212,0.0
CO,OK,20231213,0.0
CO,OK,20231214,0.0
CO,OK,20231215,0.0
CO,OK,20231216,0.0
CO,OK,20231217,0.0
CO,OK,20231218,0.0
CO,OK,20231219,0.0
CO,OK,20231220,0.0
CO,OK,20231221,0.0
CO,OK,20231222,0.0
CO,OK,20231223,0.0
CO,OK,20231224,0.0
CO,OK,20231225,0.0
CO,OK,20231226,0.0
CO,OK,20231227,0.0
CO,OK,20231228,0.0
CO,OK,20231229,0.0
CO,OK,20231230,0.0
CO,OK,20231231,0.0
AZ,NM,20230101,0.0
AZ,NM,20230102,0.0
AZ,NM,20230103,0.0
AZ,NM,20230104,0.0
AZ,NM,20230105,0.0
AZ,NM,20230106,0.0
AZ,NM,20230107,0.0
AZ,NM,20230108,0.0
AZ,NM,20230109,0.0
AZ,NM,20230110,0.0
AZ,NM,20230111,0.0
AZ,NM,20230112,0.0
AZ,NM,20230113,0.0
AZ,NM,20230114,0.0
AZ,NM,20230115,0.0
AZ,NM,20230116,0.0
AZ,NM,20230117,0.0
AZ,NM,20230118,0.0
