GAS_ZONES,DRILL_TYPE,gas_well_predet_build_year,gas_well_predet_num,gas_well_total_num
MI,D,2012,0,2
MI,V,2012,0,937
MI,H,2012,0,96975
MI,D,2015,0,2
MI,V,2015,0,937
MI,H,2015,0,96975
MI,D,2011,0,2
MI,V,2011,4,937
MI,H,2011,376,96975
MO,H,2013,0,99174
MO,H,2020,0,99174
MO,H,2015,0,99174
MO,H,2014,0,99174
MO,H,2017,0,99174
MO,H,2018,0,99174
MO,H,2019,0,99174
MO,H,2016,0,99174
MO,H,2011,3,99174
MO,H,2012,0,99174
MS,V,2006,62,38438
MS,H,2006,90,55608
MS,D,2006,7,4618
MS,V,2012,0,38635
MS,H,2012,0,55894
MS,D,2012,0,4642
MS,V,2005,55,38376
MS,H,2005,79,55518
MS,D,2005,7,4611
MS,V,2009,0,38635
MS,H,2009,0,55894
MS,D,2009,0,4642
MS,V,2010,0,38635
MS,H,2010,0,55894
MS,D,2010,0,4642
MS,V,2013,0,38635
MS,H,2013,0,55894
MS,D,2013,0,4642
MS,V,2004,175,38321
MS,H,2004,254,55439
MS,D,2004,21,4604
MS,V,2014,0,38635
MS,H,2014,0,55894
MS,D,2014,0,4642
MS,V,2015,0,38635
MS,H,2015,0,55894
MS,D,2015,0,4642
MS,V,2011,0,38635
MS,H,2011,0,55894
MS,D,2011,0,4642
MS,V,2020,0,38635
MS,H,2020,0,55894
MS,D,2020,0,4642
MS,V,2018,0,38635
MS,H,2018,0,55894
MS,D,2018,0,4642
MS,V,2019,0,38635
MS,H,2019,0,55894
MS,D,2019,0,4642
MS,V,2016,0,38635
MS,H,2016,0,55894
MS,D,2016,0,4642
MS,V,2017,0,38635
MS,H,2017,0,55894
MS,D,2017,0,4642
MS,V,2008,11,38635
MS,H,2008,16,55894
MS,D,2008,1,4642
MS,V,2007,187,38625
MS,H,2007,270,55878
MS,D,2007,22,4641
MT,H,1998,20,5782
MT,D,1998,3,757
MT,V,1998,329,93065
MT,H,1999,12,5794
MT,D,1999,2,759
MT,V,1999,197,93262
MT,H,1997,5,5762
MT,D,1997,1,755
MT,V,1997,73,92736
MT,H,2006,48,5984
MT,D,2006,6,784
MT,V,2006,773,96310
MT,H,2007,20,6004
MT,D,2007,3,786
MT,V,2007,324,96634
MT,H,2008,10,6014
MT,D,2008,1,788
MT,V,2008,159,96793
MT,H,2005,45,5936
MT,D,2005,6,777
MT,V,2005,729,95537
MT,H,2010,0,6014
MT,D,2010,0,788
MT,V,2010,0,96793
MT,H,2011,32,6046
MT,D,2011,4,792
MT,V,2011,519,97312
MT,H,2012,0,6046
MT,D,2012,0,792
MT,V,2012,0,97312
MT,H,2009,0,6014
MT,D,2009,0,788
MT,V,2009,0,96793
MT,H,2001,59,5853
MT,D,2001,8,767
MT,V,2001,944,94205
MT,H,2002,12,5865
MT,D,2002,2,768
MT,V,2002,199,94404
MT,H,2003,0,5865
MT,D,2003,0,768
MT,V,2003,0,94404
MT,H,2004,25,5890
MT,D,2004,3,771
MT,V,2004,404,94808
MT,H,2018,0,6046
MT,D,2018,0,792
MT,V,2018,0,97312
MT,H,2019,0,6046
MT,D,2019,0,792
MT,V,2019,0,97312
MT,H,2020,4,6050
MT,D,2020,1,792
MT,V,2020,63,97375
MT,H,2016,0,6046
MT,D,2016,0,792
MT,V,2016,0,97312
MT,H,2013,0,6046
MT,D,2013,0,792
MT,V,2013,0,97312
MT,H,2014,0,6046
MT,D,2014,0,792
MT,V,2014,0,97312
MT,H,2015,0,6046
MT,D,2015,0,792
MT,V,2015,0,97312
MT,H,2017,0,6046
MT,D,2017,0,792
MT,V,2017,0,97312
MT,H,2000,0,5794
MT,D,2000,0,759
MT,V,2000,0,93262
ND,V,2020,287,144797
ND,V,2007,0,143306
ND,V,2008,0,143306
ND,V,2009,2,143308
ND,V,2010,0,143308
ND,V,2011,338,143646
ND,V,2012,0,143646
ND,V,2013,0,143646
ND,V,2005,5,143254
ND,V,2006,52,143306
ND,V,2015,57,143703
ND,V,2016,0,143703
ND,V,2017,52,143755
ND,V,2014,0,143646
ND,V,2019,338,144510
ND,V,2018,417,144172
NE,H,2011,31,104304
NE,H,2012,0,104304
NE,H,2009,0,104273
NE,H,2019,0,104348
NE,H,2018,3,104348
NE,H,2008,56,104273
NE,H,2010,0,104273
NE,H,2013,0,104304
NE,H,2020,0,104348
NE,H,2015,31,104335
NE,H,2016,9,104344
NE,H,2014,0,104304
NE,H,2017,1,104345
NM,D,1990,1,4323
NM,H,1990,21,84003
NM,V,1990,4,16048
NM,D,1993,116,4559
NM,H,1993,2258,88593
NM,V,1993,431,16925
NM,D,1994,101,4661
NM,H,1994,1969,90561
NM,V,1994,376,17301
NM,D,1991,120,4443
NM,H,1991,2332,86334
NM,V,1991,445,16494
NM,D,1992,0,4443
NM,H,1992,0,86334
NM,V,1992,0,16494
NM,D,1999,0,4864
NM,H,1999,0,94511
NM,V,1999,0,18056
NM,D,2000,329,5193
NM,H,2000,6391,100902
NM,V,2000,1221,19277
NM,D,2001,53,5245
NM,H,2001,1021,101924
NM,V,2001,195,19472
NM,D,2002,27,5272
NM,H,2002,528,102452
NM,V,2002,101,19573
NM,D,2003,51,5323
NM,H,2003,988,103439
NM,V,2003,189,19761
NM,D,2004,61,5384
NM,H,2004,1186,104626
NM,V,2004,227,19988
NM,D,2005,66,5450
NM,H,2005,1274,105900
NM,V,2005,243,20231
NM,D,2006,61,5511
NM,H,2006,1189,107088
NM,V,2006,227,20459
NM,D,2007,42,5553
NM,H,2007,813,107901
NM,V,2007,155,20614
NM,D,1995,9,4670
NM,H,1995,175,90737
NM,V,1995,34,17335
NM,D,1996,26,4695
NM,H,1996,502,91239
NM,V,1996,96,17431
NM,D,1997,136,4832
NM,H,1997,2645,93884
NM,V,1997,505,17936
NM,D,1998,32,4864
NM,H,1998,627,94511
